iter	Passed	Remaining
420	106843	146941
421	107206	146837
422	107465	146590
423	107838	146498
424	108067	146209
425	108318	145949
426	108543	145656
427	108882	145516
428	109069	145171
429	109246	144815
430	109462	144510
431	109680	144209
432	109990	144029
433	110245	143776
434	110463	143475
435	110767	143286
436	111026	143039
437	111285	142791
438	111579	142587
439	111966	142502
440	112191	142210
441	112468	141984
442	112681	141677
443	112997	141501
444	113336	141352
445	113566	141066
446	113831	140825
447	114156	140657
448	114388	140374
449	114605	140072
450	114796	139741
451	114965	139382
452	115217	139126
453	115459	138856
454	115845	138760
455	116065	138463
456	116329	138221
457	116602	137988
458	116908	137794
459	117166	137543
460	117377	137237
461	117725	137091
462	117937	136786
463	118188	136528
464	118497	136335
465	118788	136121
466	119054	135880
467	119255	135564
468	119453	135244
469	119658	134933
470	119942	134712
471	120208	134470
472	120472	134226
473	120809	134062
474	121029	133769
475	121338	133573
476	121551	133273
477	121737	132943
478	122004	132701
479	122194	132377
480	122419	132091
481	122612	131770
482	122879	131529
483	123132	131273
484	123412	131046
485	123690	130816
486	123904	130519
487	124097	130200
488	124383	129979
489	124693	129783
490	124999	129581
491	125234	129307
492	125519	129083
493	125745	128800
494	125982	128527
495	126243	128279
496	126475	128002
497	126783	127801
498	127065	127575
499	127286	127286
500	127600	127091
501	127799	126781
502	128031	126504
503	128271	126235
504	128659	126111
505	128883	125826
506	129070	125506
507	129314	125241
508	129603	125020
509	129819	124728
510	130142	124539
511	130363	124252
512	130679	124056
513	130961	123827
514	131273	123626
515	131536	123379
516	131829	123159
517	132117	122935
518	132337	122647
519	132617	122416
520	132863	122153
521	133255	122023
522	133607	121855
523	133863	121601
524	134102	121330
525	134325	121046
526	134666	120868
527	135052	120728
528	135282	120449
529	135505	120165
530	135711	119865
531	135971	119614
532	136183	119320
533	136402	119033
534	136672	118790
535	136919	118527
536	137340	118414
537	137579	118144
538	137908	117951
539	138317	117825
540	138667	117649
541	138871	117349
542	139167	117126
543	139433	116878
544	139711	116639
545	140040	116443
546	140270	116165
547	140462	115855
548	140692	115578
549	140927	115304
550	141112	114990
551	141412	114769
552	141783	114606
553	142087	114388
554	142356	114142
555	142594	113870
556	142778	113556
557	142926	113214
558	143060	112861
559	143346	112629
560	143607	112377
561	143823	112090
562	144021	111789
563	144275	111531
564	144677	111388
565	144948	111144
566	145288	110951
567	145591	110731
568	145832	110463
569	146102	110217
570	146416	110005
571	146621	109710
572	146845	109429
573	146999	109097
574	147212	108809
575	147472	108555
576	147713	108289
577	148006	108059
578	148245	107791
579	148483	107522
580	148810	107317
581	149090	107078
582	149378	106845
583	149604	106567
584	149848	106302
585	150149	106078
586	150382	105805
587	150676	105576
588	150870	105276
589	151137	105027
590	151356	104745
591	151707	104555
592	152005	104327
593	152207	104034
594	152480	103789
595	152854	103612
596	153153	103385
597	153330	103075
598	153529	102779
599	153750	102500
600	154021	102254
601	154228	101965
602	154418	101665
603	154781	101479
604	155012	101206
605	155242	100933
606	155499	100677
607	155882	100503
608	156169	100266
609	156398	99992
610	156674	99748
611	156920	99485
612	157214	99252
613	157495	99011
614	157741	98748
615	158030	98512
616	158512	98395
617	158751	98127
618	159022	97879
619	159246	97602
620	159463	97321
621	159695	97049
622	160124	96897
623	160395	96648
624	160747	96448
625	160948	96158
626	161137	95859
627	161374	95591
628	161614	95324
629	161894	95081
630	162069	94775
631	162291	94498
632	162494	94211
633	162732	93943
634	162979	93681
635	163266	93441
636	163521	93184
637	163805	92942
638	164150	92735
639	164379	92463
640	164602	92187
641	164816	91907
642	165162	91700
643	165453	91462
644	165846	91279
645	166155	91051
646	166358	90764
647	166557	90475
648	166890	90259
649	167124	89990
650	167311	89695
651	167541	89423
652	167861	89200
653	168143	88956
654	168465	88733
655	168706	88467
656	168930	88193
657	169253	87970
658	169495	87705
659	169754	87449
660	170037	87205
661	170241	86920
662	170424	86626
663	170676	86366
664	170921	86103
665	171233	85873
666	171434	85588
667	171675	85323
668	171990	85095
669	172245	84837
670	172535	84596
671	172774	84330
672	173050	84082
673	173306	83824
674	173612	83591
675	173843	83321
676	174173	83098
677	174498	82873
678	174713	82596
679	174981	82344
680	175221	82078
681	175415	81792
682	175704	81549
683	175932	81278
684	176143	81000
685	176457	80769
686	176595	80457
687	176810	80181
688	177222	79994
689	177469	79732
690	177690	79459
691	177941	79199
692	178157	78923
693	178422	78670
694	178641	78396
695	178861	78123
696	179084	77851
697	179345	77596
698	179603	77339
699	179893	77097
700	180194	76859
701	180429	76592
702	180616	76306
703	180944	76078
704	181351	75884
705	181623	75633
706	181890	75380
707	182060	75087
708	182264	74808
709	182492	74539
710	182745	74280
711	183029	74034
712	183325	73792
713	183647	73561
714	184026	73353
715	184325	73112
716	184569	72849
717	184912	72625
718	185179	72371
719	185402	72100
720	185677	71850
721	185992	71614
722	186247	71356
723	186598	71134
724	186823	70864
725	187021	70583
726	187318	70341
727	187573	70082
728	187826	69822
729	188136	69584
730	188385	69323
731	188681	69079
732	188910	68811
733	189127	68539
734	189372	68276
735	189589	68004
736	189908	67769
737	190173	67514
738	190428	67255
739	190701	67003
740	190984	66754
741	191195	66480
742	191506	66241
743	191762	65982
744	192032	65729
745	192387	65504
746	192637	65244
747	192866	64976
748	193225	64752
749	193471	64490
750	193746	64238
751	193998	63978
752	194337	63746
753	194547	63473
754	194763	63201
755	195002	62937
756	195220	62666
757	195501	62416
758	195751	62155
759	196036	61906
760	196321	61656
761	196677	61429
762	196966	61180
763	197234	60925
764	197425	60647
765	197759	60412
766	198041	60161
767	198352	59919
768	198583	59652
769	198846	59395
770	199149	59150
771	199496	58918
772	199810	58676
773	200220	58462
774	200504	58211
775	200821	57969
776	201090	57713
777	201367	57459
778	201643	57205
779	201914	56950
780	202296	56725
781	202668	56498
782	202995	56258
783	203251	55997
784	203566	55754
785	203828	55495
786	204175	55259
787	204461	55007
788	204752	54756
789	205002	54494
790	205234	54227
791	205717	54026
792	205980	53767
793	206233	53506
794	206603	53275
795	206897	53023
796	207190	52772
797	207488	52522
798	207714	52253
799	207964	51991
800	208225	51731
801	208611	51502
802	209032	51281
803	209363	51038
804	209724	50802
805	209959	50536
806	210257	50284
807	210559	50033
808	210898	49791
809	211244	49551
810	211434	49273
811	211663	49005
812	211906	48741
813	212130	48472
814	212382	48209
815	212723	47967
816	212978	47705
817	213333	47465
818	213631	47212
819	213945	46963
820	214284	46719
821	214550	46459
822	214769	46189
823	215118	45947
824	215400	45691
825	215701	45438
826	216050	45195
827	216299	44931
828	216695	44698
829	216891	44423
830	217162	44164
831	217500	43918
832	217736	43651
833	217947	43380
834	218206	43118
835	218416	42847
836	218699	42590
837	218966	42330
838	219277	42078
839	219567	41822
840	219814	41558
841	220011	41284
842	220272	41023
843	220513	40758
844	220782	40498
845	220984	40226
846	221235	39963
847	221489	39700
848	221793	39447
849	222114	39196
850	222440	38946
851	222679	38681
852	223100	38447
853	223357	38185
854	223647	37928
855	223955	37674
856	224135	37399
857	224430	37143
858	224766	36894
859	225044	36635
860	225279	36369
861	225471	36096
862	225891	35859
863	226259	35614
864	226540	35355
865	226810	35095
866	227083	34835
867	227466	34591
868	227900	34355
869	228218	34101
870	228526	33846
871	228784	33582
872	229003	33314
873	229256	33050
874	229605	32800
875	229863	32537
876	230143	32277
877	230641	32048
878	230905	31785
879	231173	31523
880	231382	31253
881	231645	30991
882	231845	30720
883	232085	30454
884	232327	30189
885	232692	29940
886	232958	29677
887	233272	29421
888	233594	29166
889	233922	28911
890	234198	28650
891	234558	28399
892	234825	28137
893	235103	27875
894	235364	27612
895	235622	27349
896	235836	27080
897	236151	26823
898	236415	26560
899	236671	26296
900	236952	26035
901	237315	25783
902	237536	25516
903	237924	25266
904	238170	25001
905	238442	24739
906	238723	24477
907	239038	24219
908	239380	23964
909	239630	23699
910	239873	23434
911	240171	23174
912	240372	22905
913	240632	22641
914	240911	22379
915	241203	22119
916	241816	21887
917	242400	21652
918	242720	21393
919	243061	21135
920	243446	20881
921	243843	20628
922	244081	20362
923	244459	20107
924	244702	19840
925	245022	19580
926	245425	19326
927	245672	19060
928	245979	18799
929	246291	18538
930	246590	18275
931	246940	18017
932	247204	17752
933	247477	17487
934	247753	17223
935	248124	16965
936	248329	16696
937	248590	16431
938	248895	16168
939	249341	15915
940	249737	15658
941	250041	15395
942	250260	15127
943	250548	14863
944	250733	14592
945	251156	14336
946	251380	14068
947	251759	13809
948	251987	13541
949	252442	13286
950	252700	13020
951	253007	12756
952	253256	12490
953	253696	12232
954	253935	11965
955	254192	11699
956	254497	11435
957	254740	11168
958	255010	10902
959	255241	10635
960	255588	10372
961	255802	10104
962	256049	9837
963	256341	9572
964	256596	9306
965	256820	9039
966	257030	8771
967	257346	8507
968	257603	8241
969	257842	7974
970	258125	7709
971	258444	7444
972	258803	7181
973	259063	6915
974	259308	6648
975	259528	6381
976	259827	6116
977	260108	5851
978	260301	5583
979	260684	5320
980	260951	5054
981	261242	4788
982	261538	4523
983	261798	4256
984	262085	3991
985	262334	3724
986	262505	3457
987	262765	3191
988	263026	2925
989	263278	2659
990	263572	2393
991	263901	2128
992	264136	1861
993	264423	1596
994	264682	1330
995	264935	1063
996	265172	797
997	265483	532
998	266037	266
999	266334	0
