iter	Logloss
0	0.6341759195
1	0.6079088365
2	0.5836696146
3	0.570780178
4	0.5597565162
5	0.5493177643
6	0.5373915672
7	0.5251531302
8	0.5178069342
9	0.5135429861
10	0.505840444
11	0.5018351388
12	0.4934551967
13	0.4906264571
14	0.4875250903
15	0.4851858924
16	0.4829152865
17	0.4787727451
18	0.4765061604
19	0.4748558694
20	0.4722408457
21	0.4688682973
22	0.466772472
23	0.464976483
24	0.4638895469
25	0.4630070703
26	0.461275962
27	0.4593452351
28	0.4546956772
29	0.4507056648
30	0.4497999774
31	0.447678693
32	0.4442597041
33	0.4428422065
34	0.4421837839
35	0.4410543657
36	0.4384633334
37	0.4371602068
38	0.4325497216
39	0.4320970233
40	0.4316246763
41	0.4312290779
42	0.4306729009
43	0.4301617586
44	0.4292461038
45	0.4268358873
46	0.4258731527
47	0.4254139941
48	0.424921854
49	0.4244993395
50	0.4242331882
51	0.4238003099
52	0.4234037924
53	0.4212212621
54	0.420980519
55	0.4196011658
56	0.419064827
57	0.4176105801
58	0.4156954418
59	0.4154527725
60	0.4152351373
61	0.4150253077
62	0.4134906378
63	0.4132504173
64	0.4129286856
65	0.4094869691
66	0.4087820205
67	0.4085972747
68	0.4080685776
69	0.4078511891
70	0.4073572591
71	0.4071452335
72	0.4069701564
73	0.4066033488
74	0.4061876929
75	0.4060220298
76	0.4058415232
77	0.4020557006
78	0.3998330005
79	0.3996349521
80	0.399528786
81	0.3980076976
82	0.3978748222
83	0.3977568424
84	0.3958847986
85	0.3956146108
86	0.3954939304
87	0.3954077546
88	0.3941728787
89	0.3923171937
90	0.3921854119
91	0.3906049258
92	0.3904634707
93	0.3903340541
94	0.390250714
95	0.3901350227
96	0.3888305625
97	0.3884746824
98	0.3883548358
99	0.3882477266
100	0.3881318419
101	0.3880535903
102	0.38736484
103	0.3872910622
104	0.3871781963
105	0.3867256226
106	0.385509051
107	0.3847325203
108	0.3845971409
109	0.3840969521
110	0.3829154576
111	0.3828476871
112	0.3827403851
113	0.3825631667
114	0.3806209529
115	0.3796693598
116	0.3779405964
117	0.3764217575
118	0.3740557686
119	0.3733263598
120	0.3718147853
121	0.3704867098
122	0.3701365903
123	0.3692057325
124	0.3684030729
125	0.367376735
126	0.3668775423
127	0.3667774326
128	0.3662129473
129	0.3655161516
130	0.3653284126
131	0.3650316804
132	0.3643813252
133	0.3642956046
134	0.3638741383
135	0.3637795433
136	0.3632567679
137	0.3623142728
138	0.3622128857
139	0.3621515486
140	0.3617923134
141	0.3617372924
142	0.3616691924
143	0.3615913746
144	0.3615162096
145	0.3611790146
146	0.3604707715
147	0.3604020996
148	0.3603009365
149	0.3595373076
150	0.3594609484
151	0.3592393561
152	0.3591670008
153	0.3590926549
154	0.358713758
155	0.3586890233
156	0.3586152464
157	0.358284286
158	0.3582403618
159	0.3581699911
160	0.3580872981
161	0.3580260287
162	0.3579602692
163	0.3578873554
164	0.3578254077
165	0.3567444231
166	0.3555136174
167	0.355021736
168	0.3540232404
169	0.3539458813
170	0.3537205905
171	0.3533732518
